@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {Left_Hand_Up, Left_Hand_To_The_Left, Left_Hand_To_The_Right, Right_Hand_Up, Right_Hand_To_The_Left, Right_Hand_To_The_Right, Both_Hands_Up, Both_Hands_Down} 

@data 
-9578, 12054, -8198, -9129, 10738, -7149, -8362, 6169, -4038, 7762, -7881, -1323, 9034, -14362, -3549, 8506, -16522, -4330, @Left_Hand_Up
-9576, 12063, -8198, -9125, 10746, -7150, -8361, 6173, -4037, 7683, -7910, -1316, 9043, -14388, -3560, 8260, -15896, -3947, @Left_Hand_Up
-9570, 12047, -8182, -9102, 10748, -7119, -8352, 6165, -4022, 7630, -7924, -1317, 9038, -14395, -3565, 8209, -15885, -3922, @Left_Hand_Up
-9568, 12090, -8180, -9097, 10794, -7116, -8344, 6212, -4015, 7734, -7893, -1341, 9041, -14384, -3560, 8222, -16406, -4051, @Left_Hand_Up
-9568, 12160, -8181, -9091, 10865, -7111, -8332, 6271, -4003, 7691, -7980, -1318, 9092, -14376, -3549, 8431, -16540, -4231, @Left_Hand_Up
-9587, 12291, -8208, -9101, 10990, -7128, -8333, 6363, -4000, 7801, -8045, -1307, 9204, -14430, -3555, 8498, -16054, -4028, @Left_Hand_Up
-9595, 12336, -8216, -9102, 11036, -7131, -8332, 6395, -4000, 7822, -8072, -1303, 9246, -14450, -3558, 8756, -16645, -4353, @Left_Hand_Up
-9581, 12208, -8188, -9094, 10908, -7117, -8329, 6292, -4006, 7839, -7950, -1315, 9145, -14428, -3571, 8999, -16620, -4464, @Left_Hand_Up
-9575, 12161, -8179, -9089, 10863, -7109, -8327, 6249, -4005, 7821, -7918, -1322, 9119, -14447, -3585, 8149, -15884, -3829, @Left_Hand_Up
-9568, 12165, -8180, -9084, 10868, -7112, -8326, 6256, -4016, 7801, -7905, -1325, 9096, -14447, -3595, 8138, -15888, -3850, @Left_Hand_Up
-9560, 12177, -8174, -9078, 10876, -7107, -8324, 6255, -4010, 7813, -7910, -1327, 9111, -14466, -3602, 8244, -15954, -3915, @Left_Hand_Up
-9542, 12132, -8155, -9058, 10836, -7087, -8312, 6220, -4007, 7694, -7925, -1313, 9078, -14448, -3608, 8277, -16663, -3796, @Left_Hand_Up
-9529, 12117, -8143, -9043, 10826, -7074, -8308, 6204, -4006, 7727, -7895, -1323, 9074, -14446, -3612, 8298, -15980, -3914, @Left_Hand_Up
-9535, 12254, -8155, -9042, 10959, -7082, -8304, 6317, -3999, 7767, -7988, -1308, 9154, -14434, -3591, 8336, -16409, -4138, @Left_Hand_Up
-9529, 12209, -8157, -9040, 10916, -7087, -8303, 6285, -4014, 7797, -7920, -1324, 9112, -14424, -3595, 8518, -16598, -4314, @Left_Hand_Up
-9518, 12213, -8154, -9030, 10921, -7086, -8292, 6297, -4018, 7787, -7919, -1343, 9108, -14410, -3600, 9026, -16573, -4547, @Left_Hand_Up
-10840, 11472, -8622, -10489, 10067, -7625, -9176, 5863, -4047, 7847, -8104, -1167, 9271, -14301, -3260, 8319, -15777, -3181, @Left_Hand_Up
-10819, 11501, -8613, -10475, 10091, -7618, -9171, 5879, -4036, 7924, -8089, -1186, 9286, -14336, -3257, 8352, -15827, -3202, @Left_Hand_Up
-10815, 11547, -8632, -10478, 10132, -7639, -9181, 5915, -4055, 7932, -8092, -1190, 9289, -14359, -3262, 8310, -15819, -3150, @Left_Hand_Up
-10806, 11609, -8658, -10477, 10189, -7666, -9193, 5960, -4078, 7954, -8095, -1191, 9299, -14382, -3265, 8301, -15829, -3131, @Left_Hand_Up
-10784, 11603, -8654, -10454, 10184, -7660, -9182, 5953, -4071, 7934, -8104, -1185, 9295, -14393, -3265, 8312, -15845, -3088, @Left_Hand_Up
-10773, 11609, -8658, -10444, 10189, -7665, -9185, 5950, -4076, 7948, -8095, -1177, 9293, -14405, -3274, 8290, -15842, -3079, @Left_Hand_Up
-10768, 11475, -8700, -10442, 10059, -7710, -9198, 5828, -4132, 7167, -8279, -1253, 8144, -13572, -2639, 8205, -15948, -2523, @Left_Hand_Up
-10768, 11417, -8713, -10428, 10011, -7713, -9194, 5777, -4140, 7744, -8021, -1211, 9193, -14502, -3360, 8400, -16069, -3433, @Left_Hand_Up
-10765, 11431, -8717, -10423, 10024, -7716, -9186, 5786, -4133, 7781, -8023, -1206, 9203, -14523, -3379, 8215, -15972, -3235, @Left_Hand_Up
-10734, 11262, -8669, -10384, 9874, -7664, -9146, 5675, -4096, 7592, -7990, -1220, 9093, -14478, -3403, 8070, -15882, -3209, @Left_Hand_Up
-10719, 11217, -8648, -10370, 9830, -7647, -9134, 5639, -4083, 6997, -8168, -1150, 7970, -13452, -2468, 8010, -15797, -2196, @Left_Hand_Up
-10704, 11217, -8611, -10354, 9832, -7614, -9118, 5652, -4056, 6992, -8174, -1184, 7936, -13433, -2507, 7959, -15777, -2267, @Left_Hand_Up
-10721, 11227, -8623, -10373, 9836, -7629, -9132, 5652, -4062, 7602, -7954, -1252, 9049, -14458, -3435, 8206, -15984, -3491, @Left_Hand_Up
-10753, 11343, -8652, -10402, 9944, -7653, -9149, 5732, -4069, 7715, -7996, -1261, 9147, -14502, -3443, 8292, -16034, -3488, @Left_Hand_Up
-10747, 11273, -8637, -10398, 9878, -7639, -9146, 5676, -4066, 7635, -7971, -1259, 9102, -14497, -3452, 8250, -16025, -3499, @Left_Hand_Up
-10749, 11404, -8621, -10403, 10000, -7620, -9143, 5781, -4030, 7700, -8070, -1251, 9182, -14461, -3418, 8340, -16003, -3487, @Left_Hand_Up
-10728, 11222, -8592, -10377, 9832, -7600, -9127, 5646, -4039, 7613, -7950, -1267, 9061, -14431, -3443, 8235, -15964, -3525, @Left_Hand_Up
-10769, 11379, -8629, -10405, 9987, -7626, -9163, 5767, -4050, 7702, -8033, -1251, 9165, -14445, -3425, 8350, -15995, -3530, @Left_Hand_Up
-10780, 11230, -8607, -10400, 9857, -7601, -9157, 5662, -4045, 7059, -8172, -1165, 8012, -13443, -2477, 8077, -15785, -2193, @Left_Hand_Up
-10801, 11239, -8626, -10433, 9863, -7617, -9182, 5662, -4066, 7052, -8170, -1063, 8018, -13458, -2287, 8086, -15777, -1848, @Left_Hand_Up
-10851, 11280, -8653, -10468, 9906, -7640, -9204, 5698, -4080, 7621, -7982, -1263, 9132, -14481, -3442, 8296, -16015, -3521, @Left_Hand_Up
-10886, 11344, -8659, -10492, 9973, -7645, -9230, 5757, -4085, 7662, -8000, -1263, 9159, -14452, -3421, 8327, -15991, -3508, @Left_Hand_Up
-10895, 11405, -8651, -10507, 10030, -7631, -9228, 5803, -4068, 7776, -8005, -1283, 9210, -14451, -3415, 8405, -16006, -3537, @Left_Hand_Up
-10920, 11493, -8664, -10536, 10113, -7642, -9257, 5868, -4077, 7846, -8025, -1279, 9273, -14473, -3413, 8419, -16010, -3491, @Left_Hand_Up
-10909, 11323, -8607, -10536, 9937, -7591, -9237, 5711, -4021, 7780, -7981, -1288, 9239, -14518, -3427, 8314, -16013, -3428, @Left_Hand_Up
