@relation staticFaceGestures

@attribute BrowLower real 
@attribute BrowRaiser real 
@attribute JawLower real 
@attribute LipCornerDepressor real 
@attribute LipRaiser real 
@attribute LipStretcher real 
@attribute gesture {Neutral, Yawn, Sad, Happy, ReiseEyeBrows} 

@data 
80, -72, 541, 103, 1592, 984, Sad
399, -708, 1075, 969, 906, 1719, Sad
-135, -530, 918, 69, 1084, 1268, Sad
-135, -530, 918, 69, 1084, 1268, Sad
48, -891, 1065, 910, 842, 1601, Sad
48, -891, 1065, 910, 842, 1601, Sad
-393, -1056, 1121, 627, 915, 1778, Sad
-781, -1049, 1313, 771, 665, 1327, Sad
-781, -1049, 1313, 771, 665, 1327, Sad
-781, -1049, 1313, 771, 665, 1327, Sad
-165, -741, 1501, 1388, -53, 1555, Sad
-22, -744, 1579, 888, -162, 1577, Sad
-102, -647, 1697, 1196, -483, 1751, Sad
53, -761, 2347, 1667, -3394, 2820, Sad
53, -761, 2347, 1667, -3394, 2820, Sad
53, -761, 2347, 1667, -3394, 2820, Sad
526, -878, 2488, 2795, -3693, 1977, Sad
196, -606, 2398, 2050, -3412, 1947, Sad
196, -606, 2398, 2050, -3412, 1947, Sad
196, -606, 2398, 2050, -3412, 1947, Sad
763, -593, 2407, 2451, -3279, 2382, Sad
422, -549, 2241, 1758, -3493, 1573, Sad
590, -872, 2358, 2298, -3587, 1636, Sad
626, -715, 2199, 1478, -3341, 1476, Sad
891, -524, 2272, 1433, -3085, 1932, Sad
913, -762, 2320, 1956, -3062, 2453, Sad
574, -557, 2293, 1788, -3263, 2254, Sad
574, -557, 2293, 1788, -3263, 2254, Sad
561, -879, 2255, 2254, -3409, 3032, Sad
561, -879, 2255, 2254, -3409, 3032, Sad
561, -879, 2255, 2254, -3409, 3032, Sad
717, -110, 2166, 1512, -3200, 2847, Sad
755, -1192, 2405, 2028, -3020, 3248, Sad
503, -1027, 2442, 1529, -2898, 2826, Sad
515, -1172, 2594, 1937, -3084, 2998, Sad
546, -1371, 2664, 1880, -3251, 3578, Sad
546, -1371, 2664, 1880, -3251, 3578, Sad
546, -1371, 2664, 1880, -3251, 3578, Sad
