@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {Left_Hand_Up, Left_Hand_To_The_Left, Left_Hand_To_The_Right, Right_Hand_Up, Right_Hand_To_The_Left, Right_Hand_To_The_Right, Both_Hands_Up, Both_Hands_Down} 

@data 
-6457, -14940, -6647, -6464, -13067, -5118, -6630, -7698, -1156, 7406, -7623, -2981, 7356, -12991, -6948, 7809, -14811, -8730, Both_Hands_Down
-6466, -15356, -6916, -6482, -13071, -5121, -6647, -7698, -1160, 7400, -7608, -2977, 7339, -12984, -6938, 7794, -14808, -8737, Both_Hands_Down
-6487, -14946, -6655, -6437, -13063, -5126, -6651, -7694, -1167, 7403, -7656, -3016, 7329, -13027, -6976, 7768, -14793, -8738, Both_Hands_Down
-6486, -15324, -6915, -6482, -13039, -5132, -6658, -7680, -1178, 7379, -7635, -3019, 7285, -13002, -6964, 7724, -14759, -8729, Both_Hands_Down
-6503, -15329, -6917, -6521, -13037, -5140, -6655, -7676, -1185, 7356, -7628, -3013, 7265, -12996, -6961, 7698, -14760, -8736, Both_Hands_Down
-6502, -15341, -6929, -6536, -13049, -5152, -6662, -7682, -1201, 7347, -7637, -3015, 7262, -13008, -6961, 7684, -14763, -8742, Both_Hands_Down
-6494, -15337, -6937, -6547, -13047, -5159, -6665, -7679, -1215, 7349, -7648, -3016, 7257, -13013, -6965, 7682, -14755, -8732, Both_Hands_Down
-6489, -14916, -6694, -6447, -13022, -5204, -6662, -7673, -1230, 7356, -7641, -3000, 7257, -13008, -6953, 7681, -14761, -8730, Both_Hands_Down
-6454, -14868, -6706, -6485, -13054, -5230, -6680, -7691, -1243, 7366, -7663, -2999, 7266, -13041, -6968, 7693, -14790, -8746, Both_Hands_Down
-6463, -14877, -6717, -6510, -13072, -5239, -6685, -7701, -1248, 7379, -7638, -2975, 7275, -13024, -6946, 7719, -14801, -8737, Both_Hands_Down
-6464, -14907, -6733, -6428, -13090, -5261, -6689, -7720, -1248, 7400, -7638, -2967, 7298, -13036, -6947, 7736, -14819, -8741, Both_Hands_Down
-6724, 15479, -2470, -7246, 12931, -2000, -7433, 6052, -830, 6926, 7791, -2104, 6354, 14367, -2217, 5931, 16328, -2151, Both_Hands_Up
