@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {@Left_Hand_Up, @Left_Hand_To_The_Left, @Left_Hand_To_The_Right, @Right_Hand_Up, @Right_Hand_To_The_Left, @Right_Hand_To_The_Right, @Both_Hands_Up, @Both_Hands_Down} 

@data 
-6144, 3906, -19074, -6934, 2748, -17943, -7837, 495, -11289, 4323, -6982, 93, 3549, -13315, -2360, 2017, -15583, -3733, 
-6151, 3914, -19093, -6941, 2759, -17981, -7835, 499, -11311, 4385, -6729, 189, 3590, -13076, -2263, 2048, -15341, -3642, 
-6174, 3919, -19139, -6969, 2763, -18038, -7852, 498, -11342, 4399, -6566, 274, 3620, -12934, -2197, 2074, -15206, -3581, 
-6175, 3917, -19143, -6969, 2762, -18061, -7845, 503, -11355, 4370, -7003, 107, 2247, -14912, -3257, 989, -16820, -4620, 
-6177, 3929, -19160, -6975, 2771, -18086, -7856, 505, -11368, 4400, -6976, 130, 3590, -13357, -2353, 2064, -15655, -3732, 
-6183, 3936, -19186, -6985, 2773, -18116, -7870, 503, -11385, 4366, -7049, 124, 3582, -13448, -2363, 2020, -15725, -3746, 
-6020, 3855, -18977, -6809, 2714, -17967, -7776, 473, -11308, 4309, -7709, -119, 3448, -14049, -2550, 1970, -16348, -3923, 
-6023, 3880, -19014, -6820, 2733, -18000, -7793, 477, -11328, 4423, -7023, 156, 3540, -13360, -2329, 2063, -15670, -3698, 
-6012, 3882, -19016, -6808, 2737, -18015, -7791, 476, -11339, 4432, -7243, 78, 3499, -13586, -2391, 2058, -15915, -3770, 
-6022, 3924, -19068, -6828, 2769, -18059, -7818, 488, -11366, 4467, -6845, 252, 3567, -13204, -2255, 2069, -15511, -3632, 
-6018, 3952, -19049, -6817, 2803, -18055, -7808, 513, -11366, 4487, -6619, 326, 3598, -12981, -2174, 2087, -15275, -3553, 
-6019, 3979, -19043, -6819, 2835, -18061, -7814, 537, -11370, 4498, -6538, 361, 3601, -12904, -2142, 2085, -15194, -3525, 
-6030, 3998, -19057, -6836, 2857, -18082, -7823, 547, -11383, 4500, -6541, 369, 3595, -12913, -2144, 2076, -15206, -3526, 
-6022, 4016, -19043, -6832, 2869, -18070, -7820, 555, -11378, 4318, -8078, -228, 2277, -14910, -3158, 963, -16864, -4559, 
-6020, 4026, -19032, -6834, 2876, -18059, -7823, 560, -11371, 4356, -7885, -174, 3388, -14275, -2579, 1881, -16581, -3947, 
-6021, 4028, -19026, -6839, 2878, -18054, -7821, 560, -11367, 4364, -7755, -121, 3401, -14139, -2543, 1897, -16444, -3911, 
-6036, 4039, -19048, -6855, 2888, -18069, -7833, 562, -11375, 4353, -7705, -101, 3409, -14099, -2528, 1896, -16405, -3896, 
